alpha,gamma,epsilon_min,epsilon_decay,avg_reward
0.05,0.8,0.01,0.99,4.71
0.05,0.8,0.01,0.99,2.05
0.05,0.8,0.01,0.99,2.96
0.05,0.8,0.05,0.99,-4.35
0.05,0.8,0.05,0.99,-6.93
0.05,0.8,0.05,0.99,-3.28
0.05,0.8,0.1,0.99,-5.0
0.05,0.8,0.1,0.99,-7.32
0.05,0.8,0.1,0.99,-13.89
0.05,0.8,0.01,0.995,2.44
0.05,0.8,0.01,0.995,2.61
0.05,0.8,0.01,0.995,3.31
0.05,0.8,0.05,0.995,-0.8
0.05,0.8,0.05,0.995,-1.64
0.05,0.8,0.05,0.995,-2.22
0.05,0.8,0.1,0.995,-25.12
0.05,0.8,0.1,0.995,-19.3
0.05,0.8,0.1,0.995,-15.35
0.05,0.8,0.01,0.999,-14.71
0.05,0.8,0.01,0.999,-56.48
0.05,0.8,0.01,0.999,-15.1
0.05,0.8,0.05,0.999,-32.72
0.05,0.8,0.05,0.999,-21.05
0.05,0.8,0.05,0.999,-29.33
0.05,0.8,0.1,0.999,-26.3
0.05,0.8,0.1,0.999,-42.57
0.05,0.8,0.1,0.999,-14.55
0.05,0.8,0.01,0.9995,-38.44
0.05,0.8,0.01,0.9995,-131.4
0.05,0.8,0.01,0.9995,-117.57
0.05,0.8,0.05,0.9995,-67.31
0.05,0.8,0.05,0.9995,-87.17
0.05,0.8,0.05,0.9995,-76.38
0.05,0.8,0.1,0.9995,-105.35
0.05,0.8,0.1,0.9995,-67.96
0.05,0.8,0.1,0.9995,-33.68
0.05,0.8,0.01,0.9999,-464.89
0.05,0.8,0.01,0.9999,-474.49
0.05,0.8,0.01,0.9999,-453.47
0.05,0.8,0.05,0.9999,-454.15
0.05,0.8,0.05,0.9999,-481.96
0.05,0.8,0.05,0.9999,-475.29
0.05,0.8,0.1,0.9999,-454.24
0.05,0.8,0.1,0.9999,-487.13
0.05,0.8,0.1,0.9999,-448.32
0.05,0.9,0.01,0.99,4.65
0.05,0.9,0.01,0.99,5.28
0.05,0.9,0.01,0.99,5.88
0.05,0.9,0.05,0.99,-0.15
0.05,0.9,0.05,0.99,1.98
0.05,0.9,0.05,0.99,1.22
0.05,0.9,0.1,0.99,-7.75
0.05,0.9,0.1,0.99,-3.87
0.05,0.9,0.1,0.99,-3.22
0.05,0.9,0.01,0.995,4.42
0.05,0.9,0.01,0.995,5.89
0.05,0.9,0.01,0.995,4.39
0.05,0.9,0.05,0.995,-1.63
0.05,0.9,0.05,0.995,1.14
0.05,0.9,0.05,0.995,1.83
0.05,0.9,0.1,0.995,-3.08
0.05,0.9,0.1,0.995,-4.95
0.05,0.9,0.1,0.995,-4.56
0.05,0.9,0.01,0.999,-7.56
0.05,0.9,0.01,0.999,0.71
0.05,0.9,0.01,0.999,-13.78
0.05,0.9,0.05,0.999,0.12
0.05,0.9,0.05,0.999,1.24
0.05,0.9,0.05,0.999,-1.68
0.05,0.9,0.1,0.999,-6.95
0.05,0.9,0.1,0.999,-1.52
0.05,0.9,0.1,0.999,-11.2
0.05,0.9,0.01,0.9995,-41.06
0.05,0.9,0.01,0.9995,-25.21
0.05,0.9,0.01,0.9995,-66.78
0.05,0.9,0.05,0.9995,-39.93
0.05,0.9,0.05,0.9995,-45.67
0.05,0.9,0.05,0.9995,-44.84
0.05,0.9,0.1,0.9995,-34.41
0.05,0.9,0.1,0.9995,-55.59
0.05,0.9,0.1,0.9995,-42.1
0.05,0.9,0.01,0.9999,-421.65
0.05,0.9,0.01,0.9999,-426.22
0.05,0.9,0.01,0.9999,-455.29
0.05,0.9,0.05,0.9999,-409.7
0.05,0.9,0.05,0.9999,-432.18
0.05,0.9,0.05,0.9999,-355.52
0.05,0.9,0.1,0.9999,-364.55
0.05,0.9,0.1,0.9999,-370.07
0.05,0.9,0.1,0.9999,-391.5
0.05,0.99,0.01,0.99,5.08
0.05,0.99,0.01,0.99,5.82
0.05,0.99,0.01,0.99,5.89
0.05,0.99,0.05,0.99,2.78
0.05,0.99,0.05,0.99,0.0
0.05,0.99,0.05,0.99,4.19
0.05,0.99,0.1,0.99,-2.2
0.05,0.99,0.1,0.99,-4.15
0.05,0.99,0.1,0.99,-2.69
0.05,0.99,0.01,0.995,6.19
0.05,0.99,0.01,0.995,6.01
0.05,0.99,0.01,0.995,5.91
0.05,0.99,0.05,0.995,2.31
0.05,0.99,0.05,0.995,4.29
0.05,0.99,0.05,0.995,1.78
0.05,0.99,0.1,0.995,-3.14
0.05,0.99,0.1,0.995,-0.63
0.05,0.99,0.1,0.995,-0.33
0.05,0.99,0.01,0.999,2.04
0.05,0.99,0.01,0.999,-1.43
0.05,0.99,0.01,0.999,-3.66
0.05,0.99,0.05,0.999,-1.05
0.05,0.99,0.05,0.999,0.53
0.05,0.99,0.05,0.999,1.71
0.05,0.99,0.1,0.999,-5.74
0.05,0.99,0.1,0.999,-2.48
0.05,0.99,0.1,0.999,-5.52
0.05,0.99,0.01,0.9995,-29.29
0.05,0.99,0.01,0.9995,-29.34
0.05,0.99,0.01,0.9995,-34.88
0.05,0.99,0.05,0.9995,-25.13
0.05,0.99,0.05,0.9995,-33.88
0.05,0.99,0.05,0.9995,-27.57
0.05,0.99,0.1,0.9995,-34.89
0.05,0.99,0.1,0.9995,-37.85
0.05,0.99,0.1,0.9995,-34.18
0.05,0.99,0.01,0.9999,-391.41
0.05,0.99,0.01,0.9999,-362.4
0.05,0.99,0.01,0.9999,-348.81
0.05,0.99,0.05,0.9999,-361.59
0.05,0.99,0.05,0.9999,-351.6
0.05,0.99,0.05,0.9999,-399.06
0.05,0.99,0.1,0.9999,-428.09
0.05,0.99,0.1,0.9999,-383.64
0.05,0.99,0.1,0.9999,-363.87
0.1,0.8,0.01,0.99,6.84
0.1,0.8,0.01,0.99,6.7
0.1,0.8,0.01,0.99,7.17
0.1,0.8,0.05,0.99,4.62
0.1,0.8,0.05,0.99,2.95
0.1,0.8,0.05,0.99,-5.15
0.1,0.8,0.1,0.99,-16.25
0.1,0.8,0.1,0.99,-8.99
0.1,0.8,0.1,0.99,-5.97
0.1,0.8,0.01,0.995,4.68
0.1,0.8,0.01,0.995,6.88
0.1,0.8,0.01,0.995,5.53
0.1,0.8,0.05,0.995,-1.86
0.1,0.8,0.05,0.995,1.56
0.1,0.8,0.05,0.995,-3.25
0.1,0.8,0.1,0.995,-7.01
0.1,0.8,0.1,0.995,-5.69
0.1,0.8,0.1,0.995,-1.86
0.1,0.8,0.01,0.999,-56.93
0.1,0.8,0.01,0.999,-40.56
0.1,0.8,0.01,0.999,-47.7
0.1,0.8,0.05,0.999,-38.23
0.1,0.8,0.05,0.999,-40.61
0.1,0.8,0.05,0.999,-32.11
0.1,0.8,0.1,0.999,-50.72
0.1,0.8,0.1,0.999,-80.99
0.1,0.8,0.1,0.999,-47.88
0.1,0.8,0.01,0.9995,-83.93
0.1,0.8,0.01,0.9995,-89.12
0.1,0.8,0.01,0.9995,-166.31
0.1,0.8,0.05,0.9995,-168.53
0.1,0.8,0.05,0.9995,-35.49
0.1,0.8,0.05,0.9995,-96.28
0.1,0.8,0.1,0.9995,-106.98
0.1,0.8,0.1,0.9995,-112.79
0.1,0.8,0.1,0.9995,-174.72
0.1,0.8,0.01,0.9999,-446.71
0.1,0.8,0.01,0.9999,-474.47
0.1,0.8,0.01,0.9999,-469.24
0.1,0.8,0.05,0.9999,-478.23
0.1,0.8,0.05,0.9999,-483.66
0.1,0.8,0.05,0.9999,-450.3
0.1,0.8,0.1,0.9999,-455.68
0.1,0.8,0.1,0.9999,-478.74
0.1,0.8,0.1,0.9999,-514.12
0.1,0.9,0.01,0.99,7.86
0.1,0.9,0.01,0.99,7.57
0.1,0.9,0.01,0.99,7.2
0.1,0.9,0.05,0.99,4.36
0.1,0.9,0.05,0.99,5.32
0.1,0.9,0.05,0.99,5.26
